license,company,county,city,zip,phone,classes,role,market
1000004,SOUTH COAST CONSTRUCTION & DEVELOPMENT,Los Angeles,LOS ANGELES,90035,(818) 266 7487,B,buyer_GC,LA
1000012,INSTABUILT CONSTRUCTION INC,Los Angeles,PASADENA,91104,(818) 631 3295,B,buyer_GC,LA
1000070,BEST UNITED TOP PAINTING INC,Los Angeles,TUJUNGA,91042,(213) 220 6605,C33,partner,LA
1000079,TROY PRESCOTT CONSTRUCTION INC,Los Angeles,LAKEWOOD,90713,(562) 822 2859,B,buyer_GC,LA
1000090,MARTIN SHEET METAL,Los Angeles,PACOIMA,91331,(818) 573 3021,C33|C43,partner,LA
1000112,TOM BUILDERS,Los Angeles,WEST HILLS,91307,(818) 268 7412,B,buyer_GC,LA
1000115,SAPPHIRE CONSTRUCTION & DEVELOPMENT INC,Los Angeles,STUDIO CITY,91604,(818) 355 4763,B,buyer_GC,LA
1000122,VICENTE ESPARZA PAINTING,Los Angeles,LANCASTER,93536,(661) 305 7393,C33,partner,LA
1000129,LE CREST DEVELOPMENT,Los Angeles,ARCADIA,91007,(626) 236 7028,B,buyer_GC,LA
1000158,ASSEMBLY BUILDERS INC,Alameda,ALBANY,94706,(510) 910 5973,B,buyer_GC,SF_BAY
1000182,NUWAVE INTERNATIONAL INDUSTRIES INC,Los Angeles,SIGNAL HILL,90755,(562) 498 0800,B|C10|C20,buyer_GC,LA
1000202,S F PAINTING & DECORATING,San Francisco,SAN FRANCISCO,94112,(650) 290 1953,C33,partner,SF_BAY
1000203,CHANG SOO KO,Los Angeles,LOS ANGELES,90006,(213) 559 7169,C33,partner,LA
1000236,YERENA'S GENERAL CONSTRUCTION,Los Angeles,LAKEWOOD,90713,(562) 515 6615,B,buyer_GC,LA
1000251,TURNER BUILDING INC,Los Angeles,REDONDO BEACH,90278,(310) 977 6920,B,buyer_GC,LA
1000298,MAURICE O'GRADY,San Mateo,PACIFICA,94044,(650) 740 4951,B,buyer_GC,SF_BAY
1000309,BENJAMIN DAVID LOPEZ,Los Angeles,WHITTIER,90606,(562) 236 7554,B,buyer_GC,LA
1000372,RELIANCE BUILDERS LLC,Los Angeles,LOS ANGELES,90064,(310) 498 3983,B,buyer_GC,LA
1000389,TOP LINE ENGINEERS INC,Alameda,HAYWARD,94545,(510) 304 7752,A|B|C-2|C33,buyer_GC+partner,SF_BAY
1000427,DLG BUILDERS INC,Los Angeles,WHITTIER,90605,(562) 506 3993,B,buyer_GC,LA
1000492,KITCHEN BATH & BEYOND INC,Alameda,FREMONT,94536,(510) 468 7046,B,buyer_GC,SF_BAY
1000500,ARTANE CONSTRUCTION,San Francisco,SAN FRANCISCO,94107,(415) 407 1619,B,buyer_GC,SF_BAY
1000512,ARZUMAN BROTHERS INC,Los Angeles,MONTROSE,91020,(818) 821 3359,B,buyer_GC,LA
1000537,BAYTOWN CONSTRUCTION,San Mateo,DALY CITY,94014,(650) 991 0641,B,buyer_GC,SF_BAY
1000539,E&R MANAGEMENT CONTRACTORS INC,Los Angeles,DOWNEY,90241,(626) 347 0791,B,buyer_GC,LA
1000571,NEW GENERATION CONSTRUCTION & REMODELING INC,Alameda,CASTRO VALLEY,94546,(510) 304 8378,B,buyer_GC,SF_BAY
1000582,RENOVATING SPECIALIST INC DBA SIVAN WINDOWS AND DOORS,Los Angeles,NORTHRIDGE,91324,(818) 330 6664,B|C17,buyer_GC,LA
1000591,JOHN DAVID ENGLE,Los Angeles,LOS ANGELES,90064,(310) 403 2866,B,buyer_GC,LA
1000594,MAXIMUS BUILDERS INC,Los Angeles,WALNUT,91789,(909) 762 0153,B|C36,buyer_GC,LA
1000607,KRONE BUILDERS INC,Los Angeles,LOS ANGELES,90040,(323) 494 4703,B,buyer_GC,LA
1000619,SUNLIFT INTERNATIONAL INC,San Mateo,MILLBRAE,94030,(650) 863 3486,B,buyer_GC,SF_BAY
1000623,BUILDA GLOBAL BUILDING COMPANY,San Francisco,SAN FRANCISCO,94112,(415) 722 5023,B|C36,buyer_GC,SF_BAY
1000636,MROD CONSTRUCTION SERVICES,Los Angeles,LOS ANGELES,90019,(310) 909 3338,B,buyer_GC,LA
1000647,PRECISION IRON WORKS,Los Angeles,MAYWOOD,90270,(562) 220 2303,B|C10|C23,buyer_GC,LA
1000674,IRINA BESS CONSTRUCTION,Los Angeles,BEVERLY HILLS,90210,(310) 985 0065,B,buyer_GC,LA
1000687,COASTAL CONSTRUCTION SERVICES LLC,Alameda,HAYWARD,94545,(775) 345 6700,B,buyer_GC,SF_BAY
1000688,BONCORE BUILDERS INC,San Mateo,BELMONT,94002,(650) 200 6292,B,buyer_GC,SF_BAY
1000692,ARCHIBASE CONSTRUCTION INC,Los Angeles,WEST COVINA,91792,(714) 213 6345,B|C33,buyer_GC+partner,LA
1000698,EAGLE REMODELING INC,Los Angeles,WOODLAND HILLS,91364,(310) 721 7964,B,buyer_GC,LA
1000738,L A CONSTRUCTION AND MAINTENANCE,Los Angeles,SUN VALLEY,91352,(818) 839 1881,B|C20|C36,buyer_GC,LA
1000754,BRADFORD CO,San Mateo,DALY CITY,94014,(650) 291 6660,C33,partner,SF_BAY
1000758,ARTTHAUS CONSTRUCTION INC,Alameda,OAKLAND,94601,(310) 752 3024,B,buyer_GC,SF_BAY
1000760,ONTRAX CONSTRUCTION INC,Los Angeles,LANCASTER,93539,(661) 951 1176,A|B|C21|C27,buyer_GC,LA
1000783,THOMAS ENGEL,San Francisco,SAN FRANCISCO,94122,(415) 652 3133,B,buyer_GC,SF_BAY
1000787,D B PACIFIC CONSTRUCTION,Alameda,LIVERMORE,94550,(650) 814 7964,B,buyer_GC,SF_BAY
1000794,TERENCE CHARLES BOUCHER II,Los Angeles,ENCINO,91316,(310) 926 3494,B,buyer_GC,LA
1000808,CALIFORNIA CONSTRUCTION AND RESTORATION,Los Angeles,WALNUT,91789,(323) 316 7554,B,buyer_GC,LA
1000817,TMC TACTICAL,Los Angeles,VALENCIA,91355,(661) 510 5894,B,buyer_GC,LA
1000820,E A BUILDERS,Los Angeles,ACTON,93510,(661) 714 6033,B,buyer_GC,LA
1000858,NAIRN CONSTRUCTION INC,Los Angeles,WESTCHESTER,90045,(310) 490 4287,B,buyer_GC,LA
1000863,JOHN M RYAN,Los Angeles,ALHAMBRA,91803,(617) 750 8817,B,buyer_GC,LA
1000885,JOSE ANTONIO GARCIA MARTINEZ,Los Angeles,WILMINGTON,90744,(310) 906 6094,B,buyer_GC,LA
1000895,WINGATE BUILDING,Alameda,OAKLAND,94602,(510) 290 1289,B,buyer_GC,SF_BAY
1000899,CAMBUILD CONSTRUCTIONS,Los Angeles,PASADENA,91104,(626) 243 3156,B,buyer_GC,LA
1000914,D T D CONSTRUCTION,Los Angeles,BURBANK,91504,(818) 738 0551,B,buyer_GC,LA
1000977,BRET RONALD HOWEY,Los Angeles,CANYON COUNTRY,91387,(818) 519 0225,B,buyer_GC,LA
1001007,REDUX C + D INC,Alameda,OAKLAND,94611,(510) 206 0567,B,buyer_GC,SF_BAY
1001030,EPIC CONSULTING & DEVELOPMENT INC,Los Angeles,LAKEWOOD,90712,(310) 919 7675,B,buyer_GC,LA
1001031,LEYDEN COMPANY INC,Los Angeles,LOS ANGELES,90029,(323) 544 7454,C-9|C33,partner,LA
1001041,TWIN POST PAINTING,Alameda,SAN LEANDRO,94577,(510) 361 8924,C33,partner,SF_BAY
1001057,DEEP ELM CONSTRUCTION LLC,San Francisco,SAN FRANCISCO,94117,(415) 557 9923,B|C10|C36,buyer_GC,SF_BAY
1001062,WEST COAST MASTER BUILDERS INC,Los Angeles,SANTA CLARITA,91350,(818) 876 2923,A|B|C10|C20|D12,buyer_GC,LA
1001072,VIEW SITE DEVELOPMENT LLC,Los Angeles,NORTH HOLLYWOOD,91601,(818) 747 2136,B,buyer_GC,LA
1001075,SKYY BUILDERS INC,San Francisco,SAN FRANCISCO,94132,(415) 725 6989,B,buyer_GC,SF_BAY
1001082,JOHNSON BROTHERS TILE,Los Angeles,TUJUNGA,91042,(818) 810 8260,C54,partner,LA
1001096,EXPERT TILE & GRANITE INC,Los Angeles,LOS ANGELES,90039,(323) 633 9783,C54,partner,LA
1001098,SPECIALITY BUILDERS INC,Los Angeles,CALABASAS,91304,(818) 262 5341,B,buyer_GC,LA
1001100,FIRST PRIORITY DESIGN & CONSTRUCTION INC,Los Angeles,SANTA CLARITA,91350,(310) 650 5333,B,buyer_GC,LA
1001116,MATT BUILDING COMPANY,Los Angeles,SUNLAND,91040,(818) 232 1838,B,buyer_GC,LA
1001143,SILVERLINE SOLAR,Los Angeles,CANOGA PARK,91304,(855) 884 4790,B|C10|C46,buyer_GC,LA
1001156,DELA PAINTING CORP,Los Angeles,ENCINO,91316,(818) 314 8537,C33,partner,LA
1001171,LIET KIEN LA,Los Angeles,TEMPLE CITY,91780,(626) 348 3739,B,buyer_GC,LA
1001219,BAHIA CONSTRUCTION & REMODELING,Los Angeles,GARDENA,90247,(310) 480 9004,B,buyer_GC,LA
1001227,R C QUALITY PAINTING,Los Angeles,LA PUENTE,91744,(713) 202 8432,C33,partner,LA
1001238,A CUT ABOVE CONSTRUCTION,Alameda,LIVERMORE,94551,(925) 784 5294,B,buyer_GC,SF_BAY
1001242,ACCORD T M INCORPORATED,Los Angeles,STEVENSON RANCH,91381,(818) 517 6612,C33,partner,LA
1001245,J G I INC,Los Angeles,WHITTIER,90609,(562) 522 2517,B|C33,buyer_GC+partner,LA
1001255,STEVE BUHLER CONSTRUCTION,San Francisco,SAN FRANCISCO,94107,(415) 610 8650,B,buyer_GC,SF_BAY
1001260,B D CONSTRUCTION,Alameda,LIVERMORE,94550,(925) 321 9526,B,buyer_GC,SF_BAY
1001271,B & T PAINTING,San Mateo,SAN MATEO,94402,(650) 867 5406,C33,partner,SF_BAY
1001288,ALAN DABACH,Los Angeles,CALABASAS,91302,(818) 235 9300,B,buyer_GC,LA
1001309,BAY CITY PLUMBING,San Francisco,SAN FRANCISCO,94110,(415) 652 2093,B|C36,buyer_GC,SF_BAY
1001310,REFINED HOME CONSTRUCTION INC,Los Angeles,BEVERLY HILLS,90211,(323) 456 8644,B,buyer_GC,LA
1001322,E M L DESIGN & CONSTRUCTION,Los Angeles,WEST HILLS,91304,(310) 736 5575,B,buyer_GC,LA
1001324,YK MASON & SONS INC,San Francisco,SAN FRANCISCO,94134,(415) 467 1788,B|D39,buyer_GC,SF_BAY
1001342,J X N DEVELOPMENT,Los Angeles,PORTER RANCH,91326,(818) 337 8984,B,buyer_GC,LA
1001346,CLEAR CHOICE SOLUTIONS,Los Angeles,WHITTIER,90605,(323) 717 5450,B|C17|C39,buyer_GC,LA
1001355,M G M BUILDERS & DEVELOPERS,Los Angeles,WALNUT,91789,(909) 560 1193,B,buyer_GC,LA
1001374,JOHN HARDWOOD FLOOR SERVICE INC,San Francisco,SAN FRANCISCO,94127,(415) 994 2441,C15,partner,SF_BAY
1001383,E P CONSTRUCTION,Los Angeles,TEMPLE CITY,91780,(714) 471 1163,B|C10,buyer_GC,LA
1001414,VASQUEZ CONSTRUCTION SOLUTIONS,Alameda,OAKLAND,94619,(925) 822 7016,B,buyer_GC,SF_BAY
1001424,CHIP EVANS,Los Angeles,COVINA,91724,(714) 458 4343,B,buyer_GC,LA
1001443,MCKARAMYAN CONSTRUCTION INC,Los Angeles,VAN NUYS,91406,(818) 442 1189,B|C10,buyer_GC,LA
1001447,SUNRISE ENERGY GROUP INC,Los Angeles,WOODLAND HILLS,91367,(844) 547 1347,B,buyer_GC,LA
1001456,D K DESIGN AND DEVELOPMENT INC,Los Angeles,NEWHALL,91322,(661) 733 4263,B,buyer_GC,LA
1001470,K N B CONSTRUCTION,Los Angeles,SHERMAN OAKS,91401,(310) 801 5989,B,buyer_GC,LA
1001471,RON DAHL GENERAL CONTRACTOR INC,Los Angeles,CANOGA PARK,91304,(818) 564 2376,B,buyer_GC,LA
1001479,W H SAM CONSTRUCTION INC,San Francisco,SAN FRANCISCO,94112,(415) 290 0173,B,buyer_GC,SF_BAY
1001480,T I C BUILDERS INC,Los Angeles,VAN NUYS,91408,(818) 266 2830,B,buyer_GC,LA
1001481,360 CONTRACTORS GROUP INC,Los Angeles,BURBANK,91505,(818) 599 3166,B|C36,buyer_GC,LA
1001492,LIDO INTERIORS,Los Angeles,LONG BEACH,90803,(949) 350 5678,B,buyer_GC,LA
1001519,BUSK BROTHERS TILE,Alameda,OAKLAND,94602,(510) 395 6869,C54,partner,SF_BAY
1001550,APOLLO PAINTING & WALLCOVERING,Los Angeles,INGLEWOOD,90302,(310) 672 3080,B|C33,buyer_GC+partner,LA
1001565,TRINITY CONTRACTING CONCEPTS INC,Los Angeles,LOS ANGELES,90045,(310) 925 6601,B|C10,buyer_GC,LA
1001582,INFINITY REMODELING,Los Angeles,LOS ANGELES,90035,(310) 628 6723,B,buyer_GC,LA
1001640,GARIBAY HARDWOOD FLOORS,Alameda,HAYWARD,94544,(510) 537 8821,C15,partner,SF_BAY
1001655,SHACK PLUMBING,Los Angeles,SANTA MONICA,90404,(310) 678 2543,B|C34|C36,buyer_GC,LA
1001664,PREMIER REMODELING & DESIGN INC,Los Angeles,TARZANA,91356,(818) 398 7978,B,buyer_GC,LA
1001683,WHITESTONE INVESTMENT INC,Los Angeles,VENICE,90291,(310) 801 5002,B,buyer_GC,LA
1001698,SUNG KUN YOO,Los Angeles,LA CRESCENTA,91214,(213) 598 5105,B,buyer_GC,LA
1001714,FLOORING PRO INC,Los Angeles,VAN NUYS,91406,(818) 330 1581,C15|C54,partner,LA
1001729,B C J FLOORING & DESIGN INC,Los Angeles,WINNETKA,91306,(818) 425 6720,C15,partner,LA
1001739,OMEGA DESIGN INC,Los Angeles,ENCINO,91316,(213) 309 5674,B,buyer_GC,LA
1001759,M T M CUSTOM BUILDERS,Los Angeles,RESEDA,91335,(818) 974 9301,B,buyer_GC,LA
1001762,KEVIN NAYLOR CONSTRUCTION INC,Los Angeles,TOPANGA,90290,(310) 600 8778,B,buyer_GC,LA
1001770,GHG BUILDERS LLC,San Mateo,MENLO PARK,94025,(650) 269 5142,B,buyer_GC,SF_BAY
1001773,TREY CAMPBELL CONSTRUCTION,Los Angeles,GARDENA,90249,(310) 980 1329,B,buyer_GC,LA
1001793,EXTREME PLASTERING INC,Los Angeles,GRANADA HILLS,91344,(818) 482 8228,C35,partner,LA
1001814,JP DEMO INC,Los Angeles,LOS ANGELES,90064,(818) 822 1618,B|C21,buyer_GC,LA
1001833,D C CONSTRUCTION,Los Angeles,ENCINO,91316,(661) 510 0385,B,buyer_GC,LA
1001852,BOURKE ARMOUR,Los Angeles,LOS ANGELES,90066,(310) 420 2442,B,buyer_GC,LA
1001860,VAHE MARKARIAN,Los Angeles,GLENDALE,91207,(818) 395 0726,B,buyer_GC,LA
1001862,HB CONSTRUCTION SERVICES INC,Alameda,CASTRO VALLEY,94546,(510) 388 9899,B,buyer_GC,SF_BAY
1001876,CAL STAR ENGINEERING INC,Los Angeles,VALENCIA,91354,(213) 344 6658,A|B|C21,buyer_GC,LA
1001880,D T OPTIMUM DEVELOPMENT,Los Angeles,ROSEMEAD,91770,(626) 586 7560,B|C33,buyer_GC+partner,LA
1001882,WEN ZHANG CONSTRUCTION COMPANY,Alameda,SAN LEANDRO,94577,(510) 918 3288,B,buyer_GC,SF_BAY
1001909,LAZOBUILD INC,Los Angeles,ROSEMEAD,91770,(626) 788 2995,B,buyer_GC,LA
1001918,W Y DEVELOPER INC,San Mateo,REDWOOD CITY,94062,(510) 676 7422,A|B,buyer_GC,SF_BAY
1001937,UPTOWN RENOVATIONS INC,Los Angeles,AGOURA HILLS,91301,(818) 515 1400,B,buyer_GC,LA
1001950,SJD&B INC,Los Angeles,WALNUT,91789,(909) 322 0119,A|B|C12|C39|HAZ,buyer_GC,LA
1001973,B K REMODELERS INC,Los Angeles,WOODLAND HILLS,91364,(818) 219 5560,B,buyer_GC,LA
1001998,GUEVARA'S PAINTING INC,Los Angeles,LOS ANGELES,90003,(818) 738 0355,C33,partner,LA
1002001,G L CONTRACTORS INC,Los Angeles,LA PUENTE,91746,(626) 786 5565,B|C16|C36,buyer_GC,LA
1002003,DIBARA MASONRY LLC,Los Angeles,GLENDALE,91203,(818) 856 5412,B|C-8|C29|D06,buyer_GC,LA
1002012,360 PROPERTY SOLUTIONS LLC,Alameda,BERKELEY,94710,(510) 418 1430,B,buyer_GC,SF_BAY
1002026,ESPANA BUILDERS,Los Angeles,TARZANA,91356,(818) 307 7046,B,buyer_GC,LA
1002029,CALIFORNIA ENGINEERING AND CONSTRUCTION,Los Angeles,CARSON,90746,(310) 993 8232,A|B,buyer_GC,LA
1002037,JVS ACOUSTICS,Los Angeles,LOS ANGELES,90042,(760) 646 6014,B|C-2,buyer_GC,LA
1002039,BEST BATH & KITCHEN CONSTRUCTION,Los Angeles,LA PUENTE,91744,(626) 617 3008,B,buyer_GC,LA
1002041,NOVA CONTRACTORS INC,Los Angeles,TARZANA,91357,(818) 888 9175,C15|C33,partner,LA
1002044,RHINO BUILDERS,Los Angeles,LANCASTER,93534,(323) 301 9914,B,buyer_GC,LA
1002046,LANTERPRISE INC,Los Angeles,EL MONTE,91732,(626) 579 0283,B,buyer_GC,LA
1002049,DURST BUILDERS INCORPORATED,Los Angeles,SANTA CLARITA,91350,(661) 257 4295,B,buyer_GC,LA
1002054,GOLD COAST PAINTING,Los Angeles,LOS ANGELES,90044,(213) 215 0454,C33,partner,LA
1002069,CAL PACIFIC GENERAL CONTRACTOR INC,Los Angeles,UNIVERSAL CITY,91608,(415) 308 0750,B,buyer_GC,LA
1002110,FISHER DESIGN & BUILD INC,San Francisco,SAN FRANCISCO,94124,(415) 466 6200,B|C-9|C33,buyer_GC+partner,SF_BAY
1002114,MANTELL CONSTRUCTION INC,Los Angeles,MARINA DEL REY,90292,(805) 403 3164,B,buyer_GC,LA
1002139,PLS BUILDER,Los Angeles,AVALON,90704,(310) 383 3900,B,buyer_GC,LA
1002156,STONEWALL STRUCTURES INC,Los Angeles,CLAREMONT,91711,(909) 477 9520,B,buyer_GC,LA
1002162,ASSOCIATED CONSTRUCTION SERVICES GROUP INC,Los Angeles,SAN DIMAS,91733,(562) 464 0880,B|D12,buyer_GC,LA
1002166,CHENGUAN CONSTRUCTION LLC,Alameda,FREMONT,94536,(650) 863 7995,B,buyer_GC,SF_BAY
1002172,RANDLE CONSTRUCTION,Los Angeles,NORWALK,90650,(424) 200 8528,B,buyer_GC,LA
1002176,KEN LITTLE CONSTRUCTION,Alameda,LIVERMORE,94551,(510) 789 7994,B,buyer_GC,SF_BAY
1002187,VREJ OHANES MINASIAN,Los Angeles,COVINA,91724,(626) 786 1146,B,buyer_GC,LA
1002233,MDW CONSTRUCTION SPECIAL PROJECTS GROUP,Los Angeles,GLENDORA,91740,(626) 209 6054,B,buyer_GC,LA
1002245,RONALD ARANA,San Francisco,SAN FRANCISCO,94124,(415) 656 0130,B,buyer_GC,SF_BAY
1002247,CHRISTOPHER ARANA,San Mateo,DALY CITY,94014,(415) 656 0129,A|B,buyer_GC,SF_BAY
1002249,JOSUE CHAVEZ,Los Angeles,VAN NUYS,91406,(818) 787 9065,B,buyer_GC,LA
1002261,G RENOVATION HOMES INC,Los Angeles,LOS ANGELES,90043,(323) 283 4799,B,buyer_GC,LA
1002268,BONIFACIO MEJIA GENERAL CONTRACTOR,Los Angeles,WINNETKA,91306,(818) 389 0045,B,buyer_GC,LA
1002274,MCBRIDE CONSTRUCTION,Alameda,BERKELEY,94702,(510) 329 0954,B,buyer_GC,SF_BAY
1002292,GDF CORPORATION,Los Angeles,PASADENA,91107,(626) 351 3737,B,buyer_GC,LA
1002297,CALIFORNIA SUNSCREEN SYSTEMS,Los Angeles,CALABASAS,91302,(818) 642 5319,B|C17|C33,buyer_GC+partner,LA
1002314,UNITED 1 CONSTRUCTION,Los Angeles,LYNWOOD,90262,(562) 650 4203,B,buyer_GC,LA
1002330,JNK BUILDER INC,Los Angeles,LOS ANGELES,90019,(213) 505 0751,B|C10,buyer_GC,LA
1002355,INTEGRITY PROPERTY SOLUTIONS INC,Los Angeles,SOUTH GATE,90280,(818) 585 2346,B,buyer_GC,LA
1002392,RUFF CONSTRUCTION INC,Los Angeles,CARSON,90746,(323) 910 9201,B,buyer_GC,LA
1002420,GTZ CONSTRUCTION,San Mateo,REDWOOD CITY,94061,(650) 520 8894,B|C27,buyer_GC,SF_BAY
1002448,D L R CONSTRUCTION,Los Angeles,CALABASAS,91302,(818) 434 1935,B,buyer_GC,LA
