#,contractor,phone,city,market,classes,role,email,letter_template,status
1,S F PAINTING & DECORATING,(650) 290 1953,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
2,TOP LINE ENGINEERS INC,(510) 304 7752,HAYWARD,SF_BAY,A|B|C-2|C33,buyer_GC+partner,lalo@toplineengineers.com,ca_supply_partner,SENT_2026-08-16
3,BRADFORD CO,(650) 291 6660,DALY CITY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
4,TWIN POST PAINTING,(510) 361 8924,SAN LEANDRO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
5,B & T PAINTING,(650) 867 5406,SAN MATEO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
6,JOHN HARDWOOD FLOOR SERVICE INC,(415) 994 2441,SAN FRANCISCO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
7,BUSK BROTHERS TILE,(510) 395 6869,OAKLAND,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
8,GARIBAY HARDWOOD FLOORS,(510) 537 8821,HAYWARD,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
9,FISHER DESIGN & BUILD INC,(415) 466 6200,SAN FRANCISCO,SF_BAY,B|C-9|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
10,PICTURE PAINTING & DECORATING,(415) 518 9322,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
11,PREMIER TILE,(415) 286 4645,SAN FRANCISCO,SF_BAY,B|C54,buyer_GC+partner,НАЙТИ,ca_supply_partner,NO_EMAIL_PHONE_ONLY
12,K W PAINTING INC,(415) 846 2487,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
13,H B KITCHEN BATH INC,(510) 755 8868,HAYWARD,SF_BAY,B|C54,buyer_GC+partner,НАЙТИ,ca_supply_partner,DRAFTED
14,GONZALEZ PAINTING,(650) 787 0304,SAN MATEO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
15,R F CONTRACTORS,(510) 394 3300,OAKLAND,SF_BAY,B|C15,buyer_GC+partner,info@rfcontractors.com,ca_supply_partner,SENT_2026-08-16
16,GORGEOUS MARBLE AND TILE,(510) 915 0698,FREMONT,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
17,REILLY HOME INTERIORS INC,(415) 238 9033,SAN FRANCISCO,SF_BAY,B-2|C15|C33|C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
18,CUSTOM DREAMS TILE,(415) 312 3921,SAN FRANCISCO,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
19,DAVID CHARLES BATZEL,(415) 672 7420,SAN FRANCISCO,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
20,BLUE PUZZLE PAINTING INC,(415) 728 2407,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
21,FOCAS FLOORING INC,(925) 216 6275,LIVERMORE,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
22,ALVA FLOORING INC,(925) 550 9826,OAKLAND,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
23,SOLO TILE & STONE INC,(510) 397 6670,HAYWARD,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
24,DIAMONDSTAR FLOOR POLISHER,(510) 314 9236,HAYWARD,SF_BAY,C15,partner,НАЙТИ,ca_supply_partner,DRAFTED
25,R QUALITY PAINTING INC,(510) 431 3053,UNION CITY,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
26,THE ROCK TILE CONSTRUCTION,(650) 759 5180,HAYWARD,SF_BAY,C54,partner,НАЙТИ,ca_supply_partner,DRAFTED
27,INNOVATION PAINTING PLUS,(415) 696 6778,SAN MATEO,SF_BAY,B|C33,buyer_GC+partner,НАЙТИ,ca_supply_partner,NO_EMAIL_PHONE_ONLY
28,C P PAINTING,(415) 583 4672,SAN FRANCISCO,SF_BAY,C33,partner,НАЙТИ,ca_supply_partner,DRAFTED
