#,contractor,phone,city,permits,total_value,services,project_addr,project_type,project_value,email,letter_file,status
1,COASTLAND CONSTRUCTION MANAGEMENT INC,(305)669-1740,Pinecrest,1,73200000,"cleanup,paint,screed,stucco",4383 Sw 75 Ave,NEW,73200000.0,info@coastlandci.com,tender-system/outreach/mdc-2026-08/letters/01_COASTLAND_CONSTRUCTION_MANAGEMENT_INC.txt,SENT_2026-08-11
2,NV2A GROUP LLC,(786)233-5060,Miami,2,68125792,"cleanup,paint,screed,stucco",18600 Nw 25 Ave,NEW,65000000.0,gneves@nv2agroup.com,tender-system/outreach/mdc-2026-08/letters/02_NV2A_GROUP_LLC.txt,SENT_2026-08-11
3,BUILDING BLOCK REALTY LLC,(305)303-4855,Miami,1,61244580,"cleanup,paint,screed,stucco",3055 Ne 4 Ave,NEW,61244580.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/03_BUILDING_BLOCK_REALTY_LLC.txt,DRAFTED
4,A.G. CONTRACTORS CORP,(305)406-1312,Hialeah,1,43587436,"cleanup,paint,stucco",151 Se 15 Rd,REPAIR,43587436.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/04_A_G_CONTRACTORS_CORP.txt,DRAFTED
5,BRASFIELD & GORRIE L.L.C.,(407)562-4500,Birmingham,1,40500000,"cleanup,paint,screed,stucco",827 Nw 65 Ave,NEW,40500000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/05_BRASFIELD_GORRIE_L_L_C.txt,DRAFTED
6,Z ROOFING & WATERPROOFING INC,(305)623-7663,Hialeah,2,39736800,"cleanup,paint,screed,stucco",13830 Sw 250 St,NEW,24316800.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/06_Z_ROOFING_WATERPROOFING_INC.txt,DRAFTED
7,T & G CORPORATION DBA:T & G CONSTRUCTO,(407)352-4443,Orlando,2,32300000,"cleanup,paint,screed,stucco",12875 Sw 248 St,NEW,1900000.0,preconstruction@t-and-g.com,tender-system/outreach/mdc-2026-08/letters/07_T_G_CORPORATION_DBA_T_G_CONSTRUCTO.txt,SENT_2026-08-11
8,ALL AMERICAN WINDOWS AND DOORS LLC,(954)786-8525,Ft Lauderdale,1,28000000,"cleanup,paint,screed,stucco",11240 Biscayne Blvd,NEW,28000000.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/08_ALL_AMERICAN_WINDOWS_AND_DOORS_LLC.txt,DRAFTED
9,KAST CONSTRUCTION COMPANY FLORIDA LLC,(561)689-2910,West Palm Beach,1,28000000,"cleanup,paint,screed,stucco",11240 Biscayne Blvd,NEW,28000000.0,ddemay@kastbuild.com,tender-system/outreach/mdc-2026-08/letters/09_KAST_CONSTRUCTION_COMPANY_FLORIDA_LLC.txt,SENT_2026-08-11
10,R S CONSTRUCTION OF DADE INC,(305)377-8840,Miami,1,24316800,"cleanup,paint,screed,stucco",13830 Sw 250 St,NEW,24316800.0,НАЙТИ (сайт/звонок),tender-system/outreach/mdc-2026-08/letters/10_R_S_CONSTRUCTION_OF_DADE_INC.txt,DRAFTED
