#,company,city,email,type,website,status
1,Miami Management,Miami,customers@miamimanagement.com,property_mgmt,miamimanagement.com,SENT_2026-08-19
2,Allen Morris Company,Coral Gables,info@allenmorris.com,property_mgmt,allenmorris.com,SENT_2026-08-19
3,Sharpe Properties,Miami,info@sharpeproperties.com,property_mgmt,sharpeproperties.com,SENT_2026-08-19
4,CADISA,Miami,contactus@cadisainc.com,property_mgmt,cadisainc.com,SENT_2026-08-19
5,GIC Asset Management,Miami,susy.fernandez@gicassetmanagement.com,retail,gicassetmanagement.com,SENT_2026-08-19
6,Ideal Shopping Center Management,Miami,mike@cdamiami.com,retail,idealshoppingcentermanagement.com,SENT_2026-08-19
7,Miami Commercial Property Management,Doral,info@miamicommercialpropertymanagement.com,property_mgmt,miamicommercialpropertymanagement.com,SENT_2026-08-19
8,JMK Property Management,Miami,info@jmkpropertymanagement.com,property_mgmt,jmkpropertymanagement.com,SENT_2026-08-19
9,Stiles Property Management,Fort Lauderdale,Adrienne.zalkind@stiles.com,property_mgmt,stiles.com,SENT_2026-08-19
10,Campbell Property Management,Coral Springs,contact@campbellproperty.com,HOA,campbellpropertymanagement.com,SENT_2026-08-19
11,Fusion AMG,Broward,support@fusionpmg.com,HOA,fusionpmg.com,SENT_2026-08-19
12,Marquis Association Management,Aventura,oded.abravanel@marquishoa.com,HOA,marquishoa.com,SENT_2026-08-19
13,ASPMG,Miami,info@aspmg.com,HOA,aspmg.com,SENT_2026-08-19
14,Ardent Residential,Miami,hello@myardent.com,HOA,myardent.com,SENT_2026-08-19
15,United Property Management,Miami,info@unitedpropertymgt.com,property_mgmt,unitedpropertymgt.com,SENT_2026-08-20
16,Property Management Miami,Aventura,info@managementmiami.com,property_mgmt,managementmiami.com,SENT_2026-08-20
17,Trident Management,Miami,info@tridentfl.com,HOA,tridentmiami.com,SENT_2026-08-20
18,Courtesy Property Management,Miami,ralph.rios@cpmmiami.com,property_mgmt,cpmmiami.com,SENT_2026-08-20
19,Pointe Management Group,Boynton Beach,eric@pointe.group,HOA,pointemanagement.com,SENT_2026-08-20
20,Coral Condo Management,Coral Springs,office@coralcondos.com,HOA,coralcondos.com,SENT_2026-08-20
21,Grant Property Management,Boca Raton,gpm@grantmgmt.com,HOA,grantmgmt.com,SENT_2026-08-20
22,Florida Property Management & Sales,Davie,management@floridapropertyrealty.com,property_mgmt,floridapropertyrealty.com,SENT_2026-08-20
23,Superior Association Management,Boca Raton,info@superiormgmt.net,HOA,superiormgmt.net,SENT_2026-08-20
24,Hawk-Eye Management,Boca Raton,info@hawkeyefla.com,HOA,hawkeyemanagementinc.com,SENT_2026-08-20
25,Affinity Management Services,Coconut Creek,info@managedbyaffinity.com,HOA,managedbyaffinity.com,SENT_2026-08-20
26,Innovative Property Management Services,Cutler Bay,info@ipmsmiami.com,property_mgmt,ipmsmiami.com,SENT_2026-08-20
27,Unlimited Property Management,Miami,info@unlimitedpm.com,HOA,unlimitedpm.com,SENT_2026-08-20
28,GRS Community Management,Greenacres,residentservices@grsmgt.com,HOA,grsmgt.com,SENT_2026-08-20
29,NAI Merin Hunter Codman,West Palm Beach,mhc@mhcreal.com,CRE,mhcreal.com,SENT_2026-08-21
30,Gables Professional Management,Coral Gables,info@gablesprofessional.com,HOA,gablesprofessional.com,SENT_2026-08-21
31,Jilsa Management,West Palm Beach,vendors@jilsamanagement.com,HOA,jilsamanagement.com,SENT_2026-08-21
32,Associated Property Management,Lake Worth,admin1@apm247.net,HOA,apm247.net,SENT_2026-08-21
33,Specialized Condo Management,North Miami,management@scmcorp.net,HOA,scmmiami.com,SENT_2026-08-21
34,J&L Property Management,Coral Springs,jlinfo@jlpropertymgmt.com,HOA,jlpropertymgmt.com,SENT_2026-08-21
35,Commodore Management,Coral Gables,info@commodoremgt.com,facility,commodoremgt.com,SENT_2026-08-21
36,MG Property Management,Fort Lauderdale,management@mg-mgt.com,property_mgmt,mg-mgt.com,SENT_2026-08-21
37,Elite PRO Group,Miami,info@myelitepro.com,HOA,myelitepro.com,SENT_2026-08-21
38,Profix Property Management,Boca Raton,info@profixpm.com,property_mgmt,profixpropertymanagement.com,SENT_2026-08-21
39,IMC Equity Group,North Miami,info@imcequitygroup.com,CRE,imcequitygroup.com,SENT_2026-08-21
40,Palm Beach Property Management,Delray Beach,service@pbpmflorida.com,HOA,pbpmflorida.com,SENT_2026-08-21
